City,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
Ahmedabad,13.33,21.58,,8.26,1.02,7.56,3.59,6.79,1.5
Ahmedabad,14.91,24.53,,9.63,0.81,2.94,3.67,6.62,1.17
Ahmedabad,18.57,27.25,,8.67,1.05,4.63,2.85,5.12,0.74
Ahmedabad,20.55,29.9,,9.35,0.74,4.5,2.83,7.18,0.82
Ahmedabad,16.26,24.8,,8.54,0.87,4.6,2.52,7.61,0.81
Ahmedabad,14.36,21.89,,7.53,2.17,12.17,1.88,7.92,0.69
Ahmedabad,13.51,21.11,,7.59,4.11,12.22,1.82,6.19,0.47
Ahmedabad,13.91,21.25,,7.34,4.04,11.85,2.55,9.3,0.97
Ahmedabad,11.68,19.23,,7.55,4.01,12.64,1.64,7,0.62
Ahmedabad,10.61,17.76,,7.15,5.62,12.7,1.26,5.17,0.32
Ahmedabad,11.07,19.06,,7.99,4.1,10.57,1.5,6.9,0.63
Ahmedabad,11.16,18.62,,7.45,4.99,7.38,1.4,6.69,0.76
Ahmedabad,10.1,17.44,,7.34,10.86,5.47,1.3,12.23,0.73
Ahmedabad,9.68,18.36,,8.68,12.28,3.06,1.98,6.51,0.74
Ahmedabad,12.79,21.36,,8.58,11.09,4.96,1.76,6.18,0.57
Ahmedabad,9.83,18.98,,9.15,12.31,6.44,1.87,5.47,0.37
Ahmedabad,9.53,17.59,,8.07,13.91,7.28,1.34,3.97,0.12
Ahmedabad,11.51,20.74,,9.23,5.27,5.99,1.84,5.69,0.28
Ahmedabad,13.59,22.64,,8.87,8.09,6.31,1.32,4.59,0.16
Ahmedabad,10.9,20.36,,9.01,7.31,6.38,1.27,3.94,0.13
Ahmedabad,11.94,21.5,,9.56,5.72,6.61,1.77,4.96,0.39
Ahmedabad,9.81,19.23,,9.43,6.78,6.42,2,4.79,0.31
Ahmedabad,9.53,17.57,,8.03,9.33,7.6,1.68,4.41,0.18
Ahmedabad,9.45,17.56,,8.11,7.93,7.08,2.1,3.6,0.13
Ahmedabad,12.38,21.28,,8.91,10.05,5.78,2.15,3.64,0.27
Ahmedabad,11.08,20.82,,9.74,10.87,4.44,1.62,4.96,0.39
Ahmedabad,7.8,18.35,,10.55,10.28,3.24,2.46,4.79,0.41
Ahmedabad,0.17,11.64,,11.48,10.25,5.76,1.77,4.34,0.15
Ahmedabad,0.12,11.66,,11.55,12.7,6.55,1.69,4.17,0.22
Ahmedabad,0.16,11.65,,11.49,10.07,7.27,1.71,5.72,0.19
Ahmedabad,0.17,11.64,,11.47,11.09,6.53,1.57,3.85,0.09
Ahmedabad,0.24,11.53,,11.3,7.73,4.67,1.72,4.52,0.16
Ahmedabad,0.36,11.16,,10.8,7.8,5.46,0.95,3.54,0.12
Ahmedabad,2.69,10.67,,8,10,5.76,1.54,4.32,0.35
Ahmedabad,8.07,8.57,,0.64,16.31,8.02,1.63,4.34,0.28
Ahmedabad,8.02,8.51,,0.6,18.93,6.2,1.52,3.74,0.29
Ahmedabad,8,8.55,,0.65,18.99,7.97,1.23,4.74,0.12
Ahmedabad,7.89,8.56,,0.72,11.28,10.18,0.61,3.85,0.08
Ahmedabad,8.1,8.49,,0.55,10.29,7.44,0.52,2.31,0.06
Ahmedabad,7.9,8.43,,0.67,1.28,6.3,5,21.75,1.54
Ahmedabad,8.28,8.42,,0.55,14.58,2.6,2.81,14.53,1.87
Ahmedabad,9.73,7.88,,0.1,13.62,4.87,1.44,5.22,0.38
Ahmedabad,9.57,7.77,,0.06,13.58,5.08,1.37,3.65,0.32
Ahmedabad,8.64,7.97,,0.14,15.11,5.34,0.36,1.05,0.14
Ahmedabad,8.78,8.16,,0.18,11.52,2.79,0.52,1.23,0.22
Ahmedabad,9.45,9.74,,1.52,11.23,4.61,1.29,3.29,0.15
Ahmedabad,11.26,17.15,,5.89,11.56,4.4,0.58,1.44,0.07
Ahmedabad,10.89,16.64,,5.75,14.7,3.67,1.61,3.71,0.48
Ahmedabad,10.58,17.58,,7.01,12.95,3.53,1.65,3.96,0.37
Ahmedabad,10.47,17.39,,6.92,19.8,3.38,2.05,5.08,0.44
Ahmedabad,10.52,17.26,,6.74,8.27,3.57,1.85,4.34,0.39
Ahmedabad,10.51,17.42,,6.91,13.48,3.69,1.8,4.23,0.33
Ahmedabad,11.56,17.07,,7.21,13.62,6.08,1.67,2.85,0.11
Ahmedabad,20.52,27.21,,6.69,5.69,7.65,1.36,2.17,0.09
Ahmedabad,20.42,27.41,,6.99,9.23,7.9,0.72,2.29,0.12
Ahmedabad,20.4,27.57,,7.17,6.28,9.86,1.36,2.94,0.28
Ahmedabad,20.3,27.45,,7.14,6.77,12.78,1.22,3.39,0.26
Ahmedabad,20.21,27.42,,7.22,8.66,7.94,0.86,2.98,0.16
Ahmedabad,20.09,27.5,,7.4,9.95,8.39,0.8,2.13,0.07
Ahmedabad,20.21,27.55,,7.35,9.74,6.28,1.31,2.8,0.27
Ahmedabad,20.23,27.71,,7.48,8.92,21.51,1.17,3,0.11
Ahmedabad,20.2,27.68,,7.47,11.73,19.8,1.82,2.85,0.17
Ahmedabad,20.06,27.55,,7.49,11.23,22.77,1.38,3.36,0.44
Ahmedabad,19.94,27.51,,7.57,8.21,30.21,3.62,5.79,1
Ahmedabad,20.27,27.57,,7.3,6.41,32.95,0,0,0.02
Ahmedabad,20.24,27.58,,7.35,9.17,26.64,0.79,0.76,0.14
Ahmedabad,20.1,27.51,,7.41,9.64,17.17,1.21,1.8,0.15
Ahmedabad,20.14,27.45,,7.31,10.65,13.35,2,4.33,0.35
Ahmedabad,20.16,27.57,,7.41,9.33,18.59,1.63,3.74,0.35
Ahmedabad,19.67,30.02,,12.38,10.37,16.33,1.56,2.97,0.42
Ahmedabad,14.84,32.15,,17.31,10.76,5.38,1.67,3.17,0.24
Ahmedabad,14.82,32.06,,17.24,12.39,8.06,0.91,1.81,0.2
Ahmedabad,14.82,31.99,,17.17,11.68,37.87,1.29,3.06,0.14
Ahmedabad,14.86,31.98,,17.12,12.96,86.83,1.08,2.1,0.05
Ahmedabad,14.85,31.93,,17.08,4.73,54.01,0.91,1.25,0.16
Ahmedabad,14.79,31.9,,17.11,8.86,77.3,0,0,0.06
Ahmedabad,14.84,31.85,,17.01,7.05,62.31,0,0,0.01
Ahmedabad,14.89,31.96,,17.07,10.9,55.94,0,0,0.01
Ahmedabad,14.83,31.81,,16.98,10.02,96.83,0,0.01,0.02
Ahmedabad,14.84,31.88,,17.04,4.23,99.03,0,0,0
Ahmedabad,14.86,31.91,,17.05,5.96,59.99,0,0,0.11
Ahmedabad,14.82,31.85,,17.03,3.69,7.57,0,0,0
Ahmedabad,14.82,31.83,,17.01,6.45,12.13,0,0,0
Ahmedabad,14.85,31.89,,17.04,6.13,18.2,0,0,0
Ahmedabad,14.87,31.84,,16.97,8.87,16.53,0,0,0
Ahmedabad,14.81,31.78,,16.97,9.89,22.55,0,0,0
Ahmedabad,14.89,31.84,,16.95,6.88,33.58,0,0,0
Ahmedabad,14.88,31.82,,16.94,8.56,40.65,0,0,0.02
Ahmedabad,14.85,31.85,,17,15.13,34.18,0,0,0
Ahmedabad,50.9,67.22,,16.31,8.73,15.39,0,10.52,4.88
Ahmedabad,12.31,21.77,,9.46,11.63,13.61,0,3.42,0.29
Ahmedabad,15.43,24.1,,8.68,8.1,18.69,0,4.83,0.38
Ahmedabad,11.47,18.61,,7.14,7.92,19.03,0,3.08,0.12
Ahmedabad,9.96,16.78,,6.82,11.58,20.59,0,2.5,0.13
Ahmedabad,11.35,19.78,,8.43,11.63,28.09,0,3.19,0.2
Ahmedabad,10.94,18.07,,7.14,5.85,59.38,0,2.21,0.24
Ahmedabad,9.94,16.55,,6.61,8.82,42.9,0,1.87,0.13
Ahmedabad,9.7,16.2,,6.5,9.2,39.02,0,2.73,0.19
Ahmedabad,12.88,20.56,,7.68,8.28,43.35,0,4.29,0.36
Ahmedabad,10.99,19.44,,8.45,12.59,44.55,0,2.52,0.17
Ahmedabad,,,,,,,,,
Ahmedabad,12.25,22.19,,9.95,9.51,12.46,0,4.77,0.32
Ahmedabad,9.68,18.89,,9.21,5.98,7.69,0,3.24,0.19
Ahmedabad,9.62,20.23,,10.61,3.69,4.74,0,3.63,0.24
Ahmedabad,10.48,19.74,,9.26,7.72,7.71,0,3.41,0.21
Ahmedabad,19.75,28.44,,8.69,4.83,11.53,0,3.24,0.16
Ahmedabad,13.62,22.68,,9.05,7.47,15.95,0,3.26,0.21
Ahmedabad,14.17,25.44,,11.26,9.6,20.38,0,4.02,0.46
Ahmedabad,21.5,37.81,,16.31,13.73,30.05,0.02,9.33,0.81
Ahmedabad,30.6,40.93,,10.33,10.96,29.36,0,8.36,1
Ahmedabad,32.41,41.26,,8.85,15.63,28.45,0,7.16,0.73
Ahmedabad,34.7,52.67,,17.96,15.44,31.49,0,7.51,1.15
Ahmedabad,37.85,71.17,,33.31,27.32,24.85,19.81,51.29,15.05
Ahmedabad,28.38,39.52,,11.14,25.59,15.17,8.14,29.23,3.24
Ahmedabad,21.51,29.34,,7.83,6.98,23.17,5.59,17.26,2.28
Ahmedabad,30.23,50.39,,20.16,32.74,20.91,8.58,27.22,4.15
Ahmedabad,32.1,47.93,,15.83,19.37,23.12,8.34,23.83,4
Ahmedabad,32.5,50.71,,18.21,31.75,29.97,6.26,26.4,4.3
Ahmedabad,36.97,64.11,,27.14,24.88,23.51,10.85,41.2,6.14
Ahmedabad,34.86,50.77,,15.9,26.35,31.96,9.13,37.83,5.06
Ahmedabad,29.22,34.64,,5.42,79.47,24.89,6.23,12.93,1.74
Ahmedabad,23.45,28.63,,5.19,25.44,6.25,0.69,1.25,0.05
Ahmedabad,33.63,44.01,,10.38,30.06,27.34,3.24,11.06,1.76
Ahmedabad,32.98,53.18,,20.2,21.89,17.41,12.76,39.39,12.08
Ahmedabad,25.73,43.85,,18.12,17.89,26.02,7.32,43.71,6.04
Ahmedabad,32.87,49.9,,17.03,22.59,19.56,12.47,51.84,7.46
Ahmedabad,31.2,48.92,,17.72,26.09,30.19,8.22,41.58,5.48
Ahmedabad,34.71,55.33,,20.61,24.66,95.94,20.08,51.51,7.31
Ahmedabad,39.42,91.75,,52.33,39.15,112.01,31.75,102.65,14.97
Ahmedabad,35.22,48.6,,15.49,34.03,53.98,10.76,31.62,4.83
Ahmedabad,36.63,59.66,,23.03,94.3,5.36,0,0,0
Ahmedabad,30.65,43.57,,12.92,42.08,72.86,13.33,17.97,5.17
Ahmedabad,23.83,28.61,,4.79,34.4,24.76,6.24,12.04,2.24
Ahmedabad,28.93,39.51,,10.58,44.91,35.56,4.72,8.87,2.28
Ahmedabad,34.16,66.43,,32.27,27.73,23.95,7.62,12.85,5.15
Ahmedabad,39.1,73.74,,34.64,46.09,26.43,5.8,5.08,10.16
Ahmedabad,55.67,201,,145.32,20.47,38,1.69,3.45,36
Ahmedabad,40.31,78.39,,38.09,22.94,30.19,26,72.61,10.84
Ahmedabad,25.75,31.18,,5.42,44.92,43.04,6.48,17.42,2.14
Ahmedabad,21.15,23.04,,1.89,37.31,66.58,3.96,11.1,0.75
Ahmedabad,18.33,20.64,,2.31,19.08,42.43,3.47,10.25,1.12
Ahmedabad,12.1,13.32,,1.22,13.73,61.56,1.9,4.5,0.22
Ahmedabad,,,,,,,,,
Ahmedabad,44.2,119.62,,75.42,13.78,60.66,73.38,105.07,17.55
Ahmedabad,36.87,69.93,,33.06,21.24,131.12,25.83,60.82,9.26
Ahmedabad,42.21,99.57,,57.37,22.18,,41.22,93.71,13.41
Ahmedabad,35.31,60.37,,28.41,50.33,,28.86,55.93,8.74
Ahmedabad,50.11,89.72,,39.61,40.78,27.9,17.39,60.02,11.13
Ahmedabad,29.04,38.43,,9.39,29.18,33.21,22.88,52.49,10.86
Ahmedabad,31.91,38.64,,6.74,26.94,47.33,9.55,20.72,4.32
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
Ahmedabad,,,,,,,,,
